email,is_valid_email
0.gravatar.com,FALSE
00z4ucei1b,FALSE
029y4aagfx,FALSE
085h2b0ssm,FALSE
0h89a1uqw2,FALSE
0p856vhydc,FALSE
0wgrjb9134,FALSE
0y8pucbigw,FALSE
1.bp.blogspot.com,FALSE
1.envato.market,FALSE
1.gravatar.com,FALSE
1.usa.gov,FALSE
126kbtre75,FALSE
16nolhc2t0,FALSE
18u1xcpphd,FALSE
1drv.ms,FALSE
1e14ii4fpc,FALSE
1fn12oi147,FALSE
1g8rjfz7he,FALSE
1iwtbwll5d,FALSE
1j5j9fxgjy,FALSE
2.bp.blogspot.com,FALSE
24f1bf7ba0,FALSE
2admrmi255,FALSE
2clyz2dktn,FALSE
2dlnrtn4yp,FALSE
2f0jvnjca6,FALSE
2ikw99qd0u,FALSE
2paosdc0h9,FALSE
3.bp.blogspot.com,FALSE
33i6px5wyt,FALSE
4.bp.blogspot.com,FALSE
40oh5n880q,FALSE
4e0klwyg41,FALSE
4kt48116ar,FALSE
4p8aexsm3g,FALSE
4shared.com,FALSE
4ybun9dyth,FALSE
500px.com,FALSE
517m61weij,FALSE
55wstf0ots,FALSE
5dek91nqcb,FALSE
5jnwtkavxz,FALSE
5o7mqmngaq,FALSE
5qqchq6lnm,FALSE
5zzgunj0j0,FALSE
61kebc1hc6,FALSE
64h0sdhvm0,FALSE
67hq7aesql,FALSE
6db83o4sp0,FALSE
6dc88q2il3,FALSE
6gu3xtvxah,FALSE
6r88e5ecr2,FALSE
6zccjekteq,FALSE
77ejn00yf0,FALSE
79clpjyuzk,FALSE
7gheji31po,FALSE
7mfghxca85,FALSE
7-zip.org,FALSE
8aoaz546ed,FALSE
8eyn1eg1x3,FALSE
8gpy5r59ok,FALSE
8knvhv8s6x,FALSE
8muhpdk7w8,FALSE
8x4r3j9uac,FALSE
96u92w8ho1,FALSE
9lsu8t0mnf,FALSE
9ntq5e2xmx,FALSE
9s9r3ahgpt,FALSE
9to5mac.com,FALSE
a.aliquet.vel@yahoo.edu,TRUE
