phone_number,is_valid_phone
(523)713-5288,TRUE
(352)556-8472,TRUE
(354)276-6526,TRUE
1-835-353-3488,TRUE
1-824-577-1208,TRUE
1-702-257-2267,TRUE
1-530-785-6093,TRUE
(742)358-7809,TRUE
1-589-295-3516,TRUE
(386)385-3788,TRUE
1-370-823-1195,TRUE
1-161-908-2660,TRUE
1-405-841-2272,TRUE
(330)548-3936,TRUE
1-542-333-0988,TRUE
(428)642-3629,TRUE
(408)438-7232,TRUE
1-555-988-3686,TRUE
(984)228-4047,TRUE
(751)457-2312,TRUE
(378)148-8554,TRUE
(917)304-3220,TRUE
(266)748-3743,TRUE
(353)686-2485,TRUE
(231)485-1647,TRUE
1-551-354-4819,TRUE
1-399-333-7542,TRUE
1-650-672-3380,TRUE
(425)156-6286,TRUE
(816)280-1311,TRUE
1-511-254-4586,TRUE
(883)874-4836,TRUE
1-883-987-8197,TRUE
(737)877-5953,TRUE
1-445-359-3850,TRUE
(704)808-8464,TRUE
(680)832-4659,TRUE
1-394-522-8761,TRUE
1-824-451-5464,TRUE
1-732-623-6863,TRUE
1-855-839-8865,TRUE
1-621-697-8248,TRUE
1-328-852-1656,TRUE
(312)803-5456,TRUE
1-556-982-5772,TRUE
1-489-390-0776,TRUE
(322)475-6687,TRUE
(342)848-9229,TRUE
(235)987-2366,TRUE
1-239-672-3330,TRUE
1-653-378-2483,TRUE
(215)810-4096,TRUE
(341)749-4554,TRUE
(307)518-3333,TRUE
1-214-233-3604,TRUE
(575)455-2721,TRUE
1-576-975-9759,TRUE
1-973-918-1321,TRUE
(543)965-7522,TRUE
(910)412-8045,TRUE
(178)758-9956,TRUE
(995)387-1107,TRUE
(961)166-2566,TRUE
(798)462-7749,TRUE
(219)411-8607,TRUE
1-623-313-1867,TRUE
1-481-806-5997,TRUE
(367)229-4843,TRUE
1-855-494-6839,TRUE
(893)316-3044,TRUE
1-352-282-4833,TRUE
1-781-746-6239,TRUE
1-624-118-1648,TRUE
1-727-557-7758,TRUE
1-655-362-1177,TRUE
1-807-452-8532,TRUE
1-866-378-9129,TRUE
(960)622-1205,TRUE
1-951-773-2190,TRUE
1-371-391-8611,TRUE
1-361-249-6278,TRUE
1-215-845-0121,TRUE
1-123-941-8613,TRUE
1-925-524-4838,TRUE
1-557-614-3817,TRUE
(754)138-4595,TRUE
(355)302-4023,TRUE
(717)338-5520,TRUE
1-162-938-8174,TRUE
1-892-583-4867,TRUE
(565)673-4236,TRUE
1-642-457-2747,TRUE
(672)214-9710,TRUE
(573)750-8527,TRUE
1-712-882-7654,TRUE
1-769-688-7677,TRUE
(941)824-6310,TRUE
1-124-771-6381,TRUE
1-702-220-6980,TRUE
(387)549-6504,TRUE
1-572-855-2172,TRUE
(127)366-9885,TRUE
(536)724-7081,TRUE
(813)828-4947,TRUE
(224)225-7313,TRUE
(617)363-3714,TRUE
(334)977-3941,TRUE
(813)175-5458,TRUE
1-773-276-9072,TRUE
(978)770-4268,TRUE
(872)867-0476,TRUE
1-848-194-5128,TRUE
(520)211-3447,TRUE
1-984-798-7132,TRUE
1-725-234-2523,TRUE
(227)675-4888,TRUE
1-823-945-6929,TRUE
1-860-786-3176,TRUE
1-672-164-7001,TRUE
(231)416-4125,TRUE
(927)927-6217,TRUE
1-686-655-4361,TRUE
(274)445-6726,TRUE
1-330-982-5041,TRUE
(774)671-1749,TRUE
1-945-194-6546,TRUE
1-419-756-3757,TRUE
1-771-426-6412,TRUE
1-542-401-4702,TRUE
1-144-643-1337,TRUE
1-941-710-6010,TRUE
(396)823-8654,TRUE
(181)876-6211,TRUE
(304)260-5718,TRUE
(401)226-8465,TRUE
(267)285-1961,TRUE
1-843-195-1157,TRUE
(231)443-6824,TRUE
1-641-587-8222,TRUE
1-843-881-2785,TRUE
(818)407-2643,TRUE
1-754-855-1763,TRUE
1-576-626-5040,TRUE
1-340-381-0759,TRUE
(499)137-4148,TRUE
(468)773-5257,TRUE
(178)621-8781,TRUE
1-344-884-9634,TRUE
(164)632-8323,TRUE
(359)761-0863,TRUE
(345)649-4159,TRUE
1-821-248-2122,TRUE
(437)917-6720,TRUE
(837)225-1631,TRUE
(778)417-6713,TRUE
(925)687-3643,TRUE
1-305-896-4705,TRUE
(774)828-9283,TRUE
(976)814-1829,TRUE
(635)484-4122,TRUE
1-813-805-2944,TRUE
(428)415-7261,TRUE
(437)730-9648,TRUE
1-355-493-3512,TRUE
1-969-276-2343,TRUE
